text,label
Tôi rất thất vọng với máy tính,negative
This laptop is absolutely poor,negative
ứng dụng này thật sự hoàn hảo,positive
I am very disappointed with this service,negative
máy tính này thật sự tốt,positive
This restaurant is absolutely amazing,positive
I love this app,positive
Đây là một trò chơi tốt,positive
I really like this service,positive
I am very happy with this device,positive
Tôi ghét dịch vụ này,negative
I really like this service,positive
Tôi rất hài lòng với máy tính,positive
This service is broken,negative
Tôi rất thích dịch vụ này,positive
Tôi rất hài lòng với máy tính,positive
This service is absolutely bad,negative
This is a superb item,positive
thiết bị này thật sự tồi tệ,negative
Đây là một sản phẩm tốt,positive
Tôi rất hài lòng với sản phẩm,positive
Đây là một trò chơi tuyệt vời,positive
I am very disappointed with this device,negative
Tôi rất hài lòng với thiết bị,positive
máy tính này rất rất tệ,negative
This is a superb game,positive
I am very disappointed with this product,negative
ứng dụng này thật sự xuất sắc,positive
This product is wonderful,positive
Đây là một thiết bị xuất sắc,positive
Trải nghiệm với sản phẩm rất rất ổn,positive
điện thoại này rất đáng tiền,positive
Tôi rất hài lòng với trò chơi,positive
Tôi rất hài lòng với sản phẩm,positive
I am very disappointed with this movie,negative
This laptop is amazing,positive
Đây là một thiết bị không đáng tiền,negative
thiết bị này rất tệ,negative
điện thoại này thật sự rất kém,negative
Đây là một ứng dụng tốt,positive
This game is absolutely brilliant,positive
I am very disappointed with this device,negative
Tôi rất hài lòng với thiết bị,positive
The game works very worst,negative
I am very happy with this restaurant,positive
Đây là một máy tính tốt,positive
I regret buying this game,negative
điện thoại này rất hoàn hảo,positive
dịch vụ này thật sự đáng tiền,positive
This device is absolutely nice,positive
Đây là một trò chơi rất kém,negative
Tôi ghét máy tính này,negative
Tôi rất hài lòng với dịch vụ,positive
I regret buying this item,negative
trò chơi này rất tồi tệ,negative
điện thoại này thật sự rất kém,negative
This app is horrible,negative
I am very happy with this app,positive
Tôi rất hài lòng với dịch vụ,positive
I really like this app,positive
máy tính này thật sự rất kém,negative
I hate this laptop,negative
I regret buying this phone,negative
I love this phone,positive
Trải nghiệm với trò chơi rất tệ,negative
This is a nice product,positive
Tôi rất thất vọng với trò chơi,negative
This laptop is absolutely nice,positive
Đây là một ứng dụng tồi tệ,negative
Đây là một sản phẩm tốt,positive
